district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Tuckerton Boro,NJ-295220,19027,11729,1245
Bloomingdale Boro,NJ-310420,22750,12193,1849
Clifton City,NJ-310900,18613,10771,1782
Haledon Boro,NJ-311920,19140,12144,2201
Hawthorne Boro,NJ-312100,19307,11115,1827
Lakeland Regional,NJ-312510,26074,13985,2321
Little Falls Twp,NJ-312700,19441,12505,2318
North Haledon Boro,NJ-313640,17862,10351,2264
Passaic City,NJ-313970,26295,14869,2618
Passaic Co Manchester Reg,NJ-313980,20463,11462,2607
Passaic Valley Regional,NJ-313990,24762,13909,2523
Passaic County Vocational,NJ-313995,23486,12747,2457
Paterson City,NJ-314010,21483,11427,2277
Pompton Lakes Boro,NJ-314230,20719,12195,2216
Prospect Park Boro,NJ-314270,15288,8348,1953
Ringwood Boro,NJ-314400,24934,15466,2095
Totowa Boro,NJ-315200,20816,12716,2158
Wanaque Boro,NJ-315440,20778,13189,2268
Wayne Twp,NJ-315570,22359,12602,1920
West Milford Twp,NJ-315650,21624,12465,2291
Woodland Park,NJ-315690,18716,10814,1554
Alloway Twp,NJ-330060,17836,10919,1936
Elsinboro Twp,NJ-331350,25691,14556,2681
Lower Alloways Creek,NJ-332800,22165,13416,2025
Mannington Twp,NJ-332950,21342,13351,1977
Oldmans Twp,NJ-333860,17521,10159,2071
Penns Grv-Carneys Pt Reg,NJ-334070,19890,11262,2455
Pennsville,NJ-334075,19710,10805,2266
Pittsgrove Twp,NJ-334150,18272,9534,1957
Quinton Twp,NJ-334280,19428,12003,1850
Salem City,NJ-334630,19219,10899,2220
Salem Co Special Service,NJ-334635,75941,34269,18107
Salem County Vocational,NJ-334640,15651,8753,2487
Upper Pittsgrove Twp,NJ-335320,17276,10640,1466
Woodstown-Pilesgrove Reg,NJ-335910,16660,9848,2294
Bedminster Twp,NJ-350240,30689,17364,2439
Bernards Twp,NJ-350350,21439,12665,2057
Bound Brook Boro,NJ-350490,19606,10550,2631
Branchburg Twp,NJ-350510,23842,13969,2362
Bridgewater-Raritan Reg,NJ-350555,20412,12121,2192
Franklin Twp,NJ-351610,21321,12121,2053
Green Brook Twp,NJ-351810,23196,12880,2620
Hillsborough Twp,NJ-352170,17443,10286,1575
Manville Boro,NJ-353000,19521,10586,1984
Montgomery Twp,NJ-353320,20803,12149,2042
North Plainfield Boro,NJ-353670,19570,12016,1670
Somerset Co Vocational,NJ-354810,29556,14377,5763
Somerset Hills Regional,NJ-354815,22904,12572,2340
Somerville Boro,NJ-354820,21905,12862,2512
South Bound Brook,NJ-354850,20601,11948,2317
Warren Twp,NJ-355470,27617,16400,2283
Watchung Boro,NJ-355540,21234,13326,2183
Watchung Hills Regional,NJ-355550,22904,11900,2515
Andover Reg,NJ-370090,29218,14705,2573
Byram Twp,NJ-370640,18090,10605,2030
Frankford Twp,NJ-371560,20660,13150,2356
Franklin Boro,NJ-371570,21508,12292,1597
Fredon Twp,NJ-371630,23058,10582,2779
Green Twp,NJ-371800,21374,13255,2427
Hamburg Boro,NJ-371930,31626,19149,2913
Hampton Twp,NJ-371980,22445,13171,2595
Hardyston Twp,NJ-372030,21918,12326,2352
High Point Regional,NJ-372165,23262,12328,2401
Hopatcong,NJ-372240,20189,12930,1771
Kittatinny Regional,NJ-372465,24815,14301,2337
