district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
North Hunterdon-Voorhees Regional,NJ-193660,24544,12613,2342
Readington Twp,NJ-194350,21534,12640,2299
Tewksbury Twp,NJ-195180,24582,13719,1963
Union Twp,NJ-195270,21761,11915,1895
East Windsor Regional,NJ-211245,17689,10647,1609
Ewing Twp,NJ-211430,19266,11500,2040
Hamilton Twp,NJ-211950,15278,9208,1672
Hopewell Valley Regional,NJ-212280,23092,14436,1770
Lawrence Twp,NJ-212580,19176,11078,1780
Mercer Co Special Services School District,NJ-213103,77625,44265,6454
Mercer County Vocational,NJ-213105,14187,5774,3182
Princeton,NJ-214255,22331,13023,2115
Trenton Public School District,NJ-215210,18679,9534,1934
Robbinsville Twp,NJ-215510,14536,8373,1777
W Windsor-Plainsboro Reg,NJ-215715,17262,10299,1633
Carteret Boro,NJ-230750,15576,10402,1508
Cranbury Twp,NJ-230970,25712,15590,2539
Dunellen Boro,NJ-231140,15101,8314,2108
East Brunswick Twp,NJ-231170,18416,10656,1920
Edison Twp,NJ-231290,13595,8726,1317
Highland Park Boro,NJ-232150,18868,10511,2226
Jamesburg Boro,NJ-232370,15066,9337,1857
Metuchen Boro,NJ-233120,16987,10413,1663
Middlesex Boro,NJ-233140,17008,10015,2102
Middlesex Co Vocational,NJ-233150,20102,9268,3628
Milltown Boro,NJ-233220,15822,9535,2223
Monroe Twp,NJ-233290,17301,10684,1609
New Brunswick City,NJ-233530,20351,11302,2014
North Brunswick Twp,NJ-233620,18528,11221,1790
Old Bridge Twp,NJ-233845,16723,10455,1421
Perth Amboy City,NJ-234090,34625,23622,2807
Piscataway Twp,NJ-234130,15256,8781,1512
Sayreville Boro,NJ-234660,15920,9675,1681
South Amboy City,NJ-234830,13577,8087,1962
South Brunswick Twp,NJ-234860,16442,9835,1779
South Plainfield Boro,NJ-234910,17097,10458,2136
South River Boro,NJ-234920,14780,8582,1626
Spotswood Boro,NJ-234970,15680,8941,1743
Woodbridge Twp,NJ-235850,16172,10153,1748
Asbury Park City,NJ-250100,32102,16953,2664
Avon Boro,NJ-250180,26630,15493,2528
Belmar Boro,NJ-250270,20511,12840,2231
Bradley Beach Boro,NJ-250500,26379,15391,2484
Brielle Boro,NJ-250560,19239,11131,1957
Colts Neck Twp,NJ-250945,23956,13796,2196
Deal Boro,NJ-251000,25163,14756,2360
Eatontown Boro,NJ-251260,20114,12155,1907
Fair Haven Boro,NJ-251440,17429,10873,1685
Henry Hudson Regional,NJ-251456,0,0,0
Farmingdale Boro,NJ-251490,19870,12463,1718
Freehold Boro,NJ-251640,17585,10932,1885
Freehold Regional,NJ-251650,15002,8858,1593
Freehold Twp,NJ-251660,20813,12353,2141
Hazlet Twp,NJ-252105,17924,10228,2064
Holmdel Twp,NJ-252230,20265,12139,1494
Howell Twp,NJ-252290,17844,10746,1885
Keansburg Boro,NJ-252400,17993,10434,1803
Keyport Boro,NJ-252430,18827,11350,2118
Little Silver Boro,NJ-252720,19753,11654,2244
Long Branch City,NJ-252770,19241,11065,1880
Manalapan-Englishtown Reg,NJ-252920,15500,9202,1630
Manasquan Boro,NJ-252930,20160,11388,2163
Marlboro Twp,NJ-253030,17938,10591,1985
Matawan-Aberdeen Regional,NJ-253040,18751,11392,1905
Middletown Twp,NJ-253160,17503,11237,1579
Millstone Twp,NJ-253200,21042,11780,2485
Monmouth Beach Boro,NJ-253250,22461,15351,2255
Monmouth Co Vocational,NJ-253260,19929,11796,2924
Monmouth Regional,NJ-253270,25995,13830,2250
Neptune City,NJ-253500,23625,12457,2729
Neptune Twp,NJ-253510,19846,11372,1898
Ocean Twp,NJ-253810,21604,12699,1981
Oceanport Boro,NJ-253830,21859,12991,2687
Red Bank Boro,NJ-254360,18560,11073,2021
Red Bank Regional,NJ-254365,19602,11285,1996
Roosevelt Boro,NJ-254520,21069,12961,1439
Rumson Boro,NJ-254570,20379,12666,1720
Rumson-Fair Haven Reg,NJ-254580,20967,10749,2026
Sea Girt Boro,NJ-254690,29592,19153,2218
Shore Regional,NJ-254760,25577,12628,2673
Shrewsbury Boro,NJ-254770,18932,12385,2104
Spring Lake Boro,NJ-254980,32097,17000,2725
Spring Lake Heights Boro,NJ-254990,19856,12077,2393
Tinton Falls,NJ-255185,19193,12111,1915
Union Beach,NJ-255230,13995,8873,1628
Upper Freehold Regional,NJ-255310,16545,9365,1723
Wall Twp,NJ-255420,22135,13115,2408
West Long Branch Boro,NJ-255640,20125,11577,2301
Loch Arbour School District,NJ-255645,0,0,0
Boonton Town,NJ-270450,20786,12252,1656
Boonton Twp,NJ-270460,22059,14290,2766
Butler Boro,NJ-270630,18404,10113,2199
Sch Dist of the Chathams,NJ-270785,18542,10900,2019
Chester Twp,NJ-270820,20447,11403,2573
Denville Twp,NJ-271090,19544,11864,1872
Dover Town,NJ-271110,16708,9334,1866
East Hanover Twp,NJ-271190,20638,11976,2316
Florham Park Boro,NJ-271530,21250,12227,2393
Hanover Park Regional,NJ-271990,25377,12524,2904
Hanover Twp,NJ-272000,21864,12265,2455
Harding Township,NJ-272010,29505,16139,3021
Jefferson Twp,NJ-272380,19606,11126,2098
Kinnelon Boro,NJ-272460,12750,7200,1295
Lincoln Park Boro,NJ-272650,16223,10781,1591
Madison Boro,NJ-272870,17875,10199,1931
Mendham Boro,NJ-273090,21302,11653,2770
Mendham Twp,NJ-273100,22087,13241,2229
Mine Hill Twp,NJ-273240,17529,9842,2776
Montville Twp,NJ-273340,20706,12579,2043
Morris County Vocational,NJ-273365,15272,9407,2026
Morris Hills Regional,NJ-273370,22509,12404,2346
Morris Plains Boro,NJ-273380,21798,13300,2479
Morris School District,NJ-273385,18810,10419,2004
Mount Arlington Boro,NJ-273410,23732,12814,2533
Mount Olive Twp,NJ-273450,18970,10337,2124
Mountain Lakes Boro,NJ-273460,24681,14969,2494
Netcong Boro,NJ-273520,17572,10367,2473
Parsippany-Troy Hills Twp,NJ-273950,19477,11062,1920
Long Hill Twp,NJ-274000,19523,10004,2071
Pequannock Twp,NJ-274080,18448,11211,1770
Randolph Twp,NJ-274330,19373,11272,2353
Riverdale Boro,NJ-274440,18780,11540,2432
Rockaway Boro,NJ-274480,20388,11628,1781
Rockaway Twp,NJ-274490,21448,12547,2131
Roxbury Twp,NJ-274560,19444,11297,2049
Washington Twp,NJ-275520,19662,12590,1603
West Morris Regional,NJ-275660,20571,10886,2463
Wharton Boro,NJ-275770,18826,12108,1963
Barnegat Twp,NJ-290185,16037,10823,1038
Bay Head Boro,NJ-290210,24912,13433,2333
Beach Haven Boro,NJ-290230,25981,13875,1850
Berkeley Twp,NJ-290320,14829,8981,1478
Brick Twp,NJ-290530,15822,9543,1267
Central Regional,NJ-290770,16202,9122,1600
Eagleswood Twp,NJ-291150,21918,14284,2192
Island Heights Boro,NJ-292350,21910,13561,2207
Jackson Twp,NJ-292360,16473,9721,1724
Lacey Twp,NJ-292480,17112,10682,1362
Lakehurst Boro,NJ-292500,17162,10560,2377
Lavallette Boro,NJ-292550,22738,12957,2259
Little Egg Harbor Twp,NJ-292690,16377,10532,1230
Long Beach Island,NJ-292760,32326,18014,2450
Manchester Twp,NJ-292940,18541,11406,1631
Ocean County Vocational,NJ-293790,12162,7015,2641
Ocean Gate Boro,NJ-293800,24927,15415,2331
Ocean Twp,NJ-293820,15845,8490,1635
Pinelands Regional,NJ-294105,19387,10404,1990
Plumsted Twp,NJ-294190,18150,10550,1954
Point Pleasant Boro,NJ-294210,14949,8599,1725
Point Pleasant Beach Boro,NJ-294220,22085,12243,2127
Seaside Heights Boro,NJ-294710,23078,13290,2029
Southern Regional,NJ-294950,19179,11138,1785
Stafford Twp,NJ-295020,15423,8896,1423
Toms River Regional,NJ-295190,15584,8747,1450
Tuckerton Boro,NJ-295220,18612,11394,1325
Bloomingdale Boro,NJ-310420,18994,10820,1685
Clifton City,NJ-310900,16074,9588,1559
Haledon Boro,NJ-311920,14630,9674,1836
Hawthorne Boro,NJ-312100,18238,10633,1601
Lakeland Regional,NJ-312510,23775,13010,2077
Little Falls Twp,NJ-312700,14773,9599,1796
North Haledon Boro,NJ-313640,11463,6698,1535
Passaic City,NJ-313970,22666,12875,2175
Passaic Co Manchester Reg,NJ-313980,17292,9972,1926
Passaic Valley Regional,NJ-313990,22554,12711,2151
Passaic County Vocational,NJ-313995,20800,10900,2422
Paterson City,NJ-314010,19231,10475,1994
Pompton Lakes Boro,NJ-314230,17862,10770,2002
Prospect Park Boro,NJ-314270,15767,9402,1790
Ringwood Boro,NJ-314400,21645,13504,1814
Totowa Boro,NJ-315200,14847,8882,2297
Wanaque Boro,NJ-315440,18841,12075,1933
Wayne Twp,NJ-315570,20648,12117,1724
West Milford Twp,NJ-315650,20474,12022,2081
Woodland Park,NJ-315690,16576,9643,1445
Alloway Twp,NJ-330060,13996,8556,1838
Elsinboro Twp,NJ-331350,18968,12193,2058
Lower Alloways Creek,NJ-332800,18487,11544,1994
Mannington Twp,NJ-332950,16917,11421,1446
Oldmans Twp,NJ-333860,15490,10094,1528
Penns Grv-Carneys Pt Reg,NJ-334070,16250,9335,2073
Pennsville,NJ-334075,17519,9904,1975
Pittsgrove Twp,NJ-334150,16450,8777,1726
Quinton Twp,NJ-334280,15201,9741,1539
Salem City,NJ-334630,16430,8706,1996
Salem Co Special Service,NJ-334635,49452,17908,12638
Salem County Vocational,NJ-334640,13116,7788,1990
Upper Pittsgrove Twp,NJ-335320,16650,10746,1523
Woodstown-Pilesgrove Reg,NJ-335910,14928,8906,1998
Bedminster Twp,NJ-350240,24592,14788,1943
Bernards Twp,NJ-350350,19604,11649,1824
Bound Brook Boro,NJ-350490,16680,9277,2442
Branchburg Twp,NJ-350510,22618,13342,2370
Bridgewater-Raritan Reg,NJ-350555,18847,11308,2070
Franklin Twp,NJ-351610,18887,10847,1960
