ST_LEAID,SchoolYear,DistrictName,TotalEnrollment
NJ-395000,2018-2019,Springfield Twp,2227
NJ-395090,2018-2019,Summit City,3931.5
NJ-395245,2018-2019,Union Co Ed Serv Comm,317
NJ-395260,2018-2019,Union County Vocational,1910.5
NJ-395290,2018-2019,Union Twp,7063
NJ-395730,2018-2019,Westfield Town,6206.5
NJ-395810,2018-2019,Winfield Twp,135
NJ-410030,2018-2019,Allamuchy Twp,432
NJ-410070,2018-2019,Alpha Boro,205
NJ-410280,2018-2019,Belvidere Town,674
NJ-410400,2018-2019,Blairstown Twp,462
NJ-411620,2018-2019,Franklin Twp,201
NJ-411670,2018-2019,Frelinghuysen Twp,148
NJ-411785,2018-2019,Great Meadows Regional,664
NJ-411840,2018-2019,Greenwich Twp,684
NJ-411870,2018-2019,Hackettstown,1895
NJ-412040,2018-2019,Harmony Twp,243
NJ-412250,2018-2019,Hope Twp,132
NJ-412470,2018-2019,Knowlton Twp,174
NJ-412790,2018-2019,Lopatcong Twp,734
NJ-412970,2018-2019,Mansfield Twp,609
NJ-413675,2018-2019,North Warren Regional,799
NJ-413890,2018-2019,Oxford Twp,274
NJ-414100,2018-2019,Phillipsburg Town,3815
NJ-414200,2018-2019,Pohatcong Twp,302
NJ-415460,2018-2019,Warren County Vocational,466
NJ-415465,2018-2019,Warren Hills Regional,1747
NJ-415480,2018-2019,Washington Boro,481
NJ-415530,2018-2019,Washington Twp,421
NJ-415780,2018-2019,White Twp,267
NJ-806010,2018-2019,Academy Charter High School,187.5
NJ-806013,2018-2019,Bergen Arts And Sciences Charter School,1163
NJ-806017,2018-2019,Foundation Academy CS,1050
NJ-806018,2018-2019,Central Jersey College Prep Charter School,820
NJ-806020,2018-2019,Pride Academy Charter School,288
NJ-806021,2018-2019,Community Charter School Of Paterso,918
NJ-806022,2018-2019,Burch Charter School Of Excellence,354
NJ-806025,2018-2019,Paul Robeson Humanities  Charter School,378
NJ-806026,2018-2019,Riverbank Charter School Of Excelle,151
NJ-806028,2018-2019,Vineland Public Charter School,383
NJ-806029,2018-2019,Newark Educators Community Charter School,299
NJ-806030,2018-2019,The Ethical Community Charter School,387
NJ-806032,2018-2019,Academy For Urban Leadership Charter School,552
NJ-806033,2018-2019,The Barack Obama Green Charter High School,238
NJ-806036,2018-2019,Hola Hoboken Dual Lang CS,399
NJ-806041,2018-2019,Hatikvah International CS,492
NJ-806053,2018-2019,Great Oaks Legacy Charter School,1622
NJ-806057,2018-2019,Peoples Preparatory Charter School,385
NJ-806058,2018-2019,Roseville Community CS,328
NJ-806060,2018-2019,Atlantic Community Charter School,388
NJ-806064,2018-2019,Dr Lena Edwards Academic Charter School,393
NJ-806067,2018-2019,Kingdom Cs Of Leadership,185
NJ-806068,2018-2019,M E T S Charter School,18
NJ-806069,2018-2019,Millville Public Charter School,227
NJ-806076,2018-2019,Benjamin Banneker Prep CS,360
NJ-806079,2018-2019,John P Holland Charter School,423
NJ-806080,2018-2019,Passaic Arts And Science Charter School,1450
NJ-806081,2018-2019,Thomas Edison Energysmart Charter School,512
NJ-806082,2018-2019,Beloved Community Charter School,1079
NJ-806086,2018-2019,Hope Community CS,158
NJ-806089,2018-2019,Compass Academy CS,202
NJ-806093,2018-2019,Jersey City Global CS,437
NJ-806094,2018-2019,Phillip'S Academy Charter School,488
NJ-806096,2018-2019,Paterson Arts And Science Charter School,788
NJ-806099,2018-2019,Link Community Charter School,295
NJ-806100,2018-2019,Bridgeton Public Charter School,102
NJ-806101,2018-2019,College Achieve Central Charter School,985
NJ-806102,2018-2019,Cresthaven Academy Charter School,233
NJ-806103,2018-2019,Empowerment Academy Charter School,574
NJ-806104,2018-2019,International Academy Of Atlantic City Charter School,400
NJ-806105,2018-2019,Hudson Arts And Science  Charter School,700
NJ-806106,2018-2019,Philip’S Charter School Of Paterson,215
NJ-806107,2018-2019,Camden’S Promise Charter School,2252
NJ-806109,2018-2019,Lead Charter School,219
NJ-806110,2018-2019,Achieve Community Charter School,223
NJ-806183,2018-2019,Trenton STEM-To-Civics CS,589
NJ-806230,2018-2019,Classical Academy Charter School Of Clifton,118
NJ-806232,2018-2019,Environment Community CS,191
NJ-806240,2018-2019,Freedom Prep Charter School,879
NJ-806320,2018-2019,Discovery CS,110
NJ-806410,2018-2019,East Orange Community CS,493
NJ-806420,2018-2019,Elysian CS Of Hoboken,290
NJ-806430,2018-2019,Englewood On The Palisades Charter School,317
NJ-806635,2018-2019,Greater Brunswick CS,392
NJ-806665,2018-2019,Gray CS,352
NJ-806720,2018-2019,Hoboken Cs,299
NJ-806740,2018-2019,Hope Academy CS,236
NJ-806810,2018-2019,International Charter School,89
NJ-806910,2018-2019,Jersey City Comm. CS,582
NJ-806915,2018-2019,Jersey City Golden Door Charter School,587
NJ-807109,2018-2019,Leap Academy University CS,1482
NJ-807115,2018-2019,Learning Community CS,624
NJ-807210,2018-2019,Marion P. Thomas CS,1618
NJ-807290,2018-2019,New Horizons Comm. CS,679
NJ-807320,2018-2019,North Star Academy Charter School,5271
NJ-807325,2018-2019,Team Academy Charter School,4374
NJ-807410,2018-2019,Charter~Tech High School,366
NJ-807500,2018-2019,Pace Cs Of Hamilton,341
NJ-807503,2018-2019,Paterson CS For Sci/Tech,1439
NJ-807540,2018-2019,Princeton CS,423
NJ-807600,2018-2019,Queen City Academy CS,323
NJ-807720,2018-2019,The Red Bank CS,199
NJ-807727,2018-2019,Ridge And Valley CS,130
NJ-807730,2018-2019,Robert Treat Academy CS,685
NJ-807735,2018-2019,Maria L. Varisco-Rogers CS,559
NJ-807830,2018-2019,Soaring Heights Cs,264
NJ-807850,2018-2019,Sussex County Technology Charter School,225
NJ-807890,2018-2019,Teaneck Community CS,324
NJ-807891,2018-2019,College Achieve Greater Asbury Park Charter School,231
NJ-807892,2018-2019,College Achieve Paterson Charter School,504
NJ-807893,2018-2019,Ocean Academy Charter School,151
NJ-807895,2018-2019,Achievers Early College Prep Charter School,72
NJ-807896,2018-2019,Middlesex Charter School,89
NJ-808010,2018-2019,Union County Teams CS,393
NJ-808050,2018-2019,Unity CS,236
NJ-808060,2018-2019,University Academy CS,436
NJ-808065,2018-2019,University Heights CS,970
NJ-808140,2018-2019,Village CS,361
NJ-010010,2017-2018,Absecon City,874
NJ-010110,2017-2018,Atlantic City,7016
NJ-010120,2017-2018,Atlantic Co Vocational,1610
NJ-010125,2017-2018,Atlantic Co Special Serv,346
NJ-010570,2017-2018,Brigantine City,583
NJ-010590,2017-2018,Buena Regional,1739
NJ-011300,2017-2018,Egg Harbor City,535
NJ-011310,2017-2018,Egg Harbor Twp,7364
NJ-011410,2017-2018,Estell Manor City,184
NJ-011540,2017-2018,Folsom Boro,399
NJ-011690,2017-2018,Galloway Twp,3288
NJ-011790,2017-2018,Greater Egg Harbor Reg,3124
NJ-011940,2017-2018,Hamilton Twp,3074
NJ-011960,2017-2018,Hammonton Town,3496
NJ-012680,2017-2018,Linwood City,819
NJ-012910,2017-2018,Mainland Regional,1267
NJ-013020,2017-2018,Margate City,365
NJ-013480,2017-2018,Mullica Twp,712
NJ-013720,2017-2018,Northfield City,909
NJ-014180,2017-2018,Pleasantville City,3505
NJ-014240,2017-2018,Port Republic City,114
NJ-014800,2017-2018,Somers Point City,926
NJ-015350,2017-2018,Ventnor City,665
NJ-015760,2017-2018,Weymouth Twp,153
NJ-030040,2017-2018,Allendale Boro,913
NJ-030080,2017-2018,Alpine Boro,148
NJ-030285,2017-2018,Bergen Co Special Service,698
NJ-030290,2017-2018,Bergen County Vocational,2277.5
NJ-030300,2017-2018,Bergenfield Boro,3537
NJ-030440,2017-2018,Bogota Boro,1105
NJ-030740,2017-2018,Carlstadt Boro,534
NJ-030745,2017-2018,Carlstadt-East Rutherford,473.5
NJ-030890,2017-2018,Cliffside Park Boro,3165
NJ-030930,2017-2018,Closter Boro,1170
NJ-030990,2017-2018,Cresskill Boro,1842
NJ-031070,2017-2018,Demarest Boro,677
NJ-031130,2017-2018,Dumont Boro,2487
NJ-031230,2017-2018,East Rutherford Boro,819
NJ-031270,2017-2018,Edgewater Boro,956
NJ-031345,2017-2018,Elmwood Park,2578
NJ-031360,2017-2018,Emerson Boro,1127
NJ-031370,2017-2018,Englewood City,3032.5
NJ-031380,2017-2018,Englewood Cliffs Boro,498
NJ-031450,2017-2018,Fair Lawn Public Schools,4968
NJ-031470,2017-2018,Fairview Boro,1445
NJ-031550,2017-2018,Fort Lee Boro,3906
NJ-031580,2017-2018,Franklin Lakes Boro,1127
NJ-031700,2017-2018,Garfield City,4830
NJ-031760,2017-2018,Glen Rock Boro,2510
NJ-031860,2017-2018,Hackensack City,5663.5
NJ-032050,2017-2018,Harrington Park Boro,608
NJ-032080,2017-2018,Hasbrouck Heights Boro,1799.5
NJ-032090,2017-2018,Haworth Boro,419
NJ-032180,2017-2018,Hillsdale Boro,1153
NJ-032200,2017-2018,Ho Ho Kus Boro,599
NJ-032620,2017-2018,Leonia Boro,1883
NJ-032710,2017-2018,Little Ferry Boro,895
NJ-032740,2017-2018,Lodi Borough,3102.5
NJ-032860,2017-2018,Lyndhurst Twp,2503.5
NJ-032900,2017-2018,Mahwah Twp,2878
NJ-033060,2017-2018,Maywood Boro,980
NJ-033170,2017-2018,Midland Park Boro,937
NJ-033330,2017-2018,Montvale Boro,996
NJ-033350,2017-2018,Moonachie Boro,317
NJ-033550,2017-2018,New Milford Boro,2011.5
NJ-033600,2017-2018,North Arlington Boro,1765.5
NJ-033700,2017-2018,Northern Highlands Reg,1352
NJ-033710,2017-2018,Northern Valley Regional,2471
NJ-033730,2017-2018,Northvale Boro,517
NJ-033740,2017-2018,Norwood Boro,598
NJ-033760,2017-2018,Oakland Boro,1375
NJ-033850,2017-2018,Old Tappan Boro,655
NJ-033870,2017-2018,Oradell Boro,753
NJ-033910,2017-2018,Palisades Park,1718
NJ-033930,2017-2018,Paramus Boro,3767.5
NJ-033940,2017-2018,Park Ridge Boro,1207
NJ-033960,2017-2018,Pascack Valley Regional,2022
NJ-034300,2017-2018,Ramapo-Indian Hill Reg,2282.5
NJ-034310,2017-2018,Ramsey Boro,2767
NJ-034370,2017-2018,Ridgefield Boro,1655.5
NJ-034380,2017-2018,Ridgefield Park Twp,2303.5
NJ-034390,2017-2018,Ridgewood Village,5653
NJ-034405,2017-2018,River Dell Regional,1614.5
NJ-034410,2017-2018,River Edge Boro,1194
NJ-034430,2017-2018,River Vale Twp,1134
NJ-034470,2017-2018,Rochelle Park Twp,477
NJ-034600,2017-2018,Rutherford Boro,2589
NJ-034610,2017-2018,Saddle Brook Twp,1714
NJ-034620,2017-2018,Saddle River Boro,147
NJ-034845,2017-2018,South Bergen Jointure Com,297
NJ-034870,2017-2018,South Hackensack Twp,288
NJ-035150,2017-2018,Teaneck Twp,3584.5
NJ-035160,2017-2018,Tenafly Boro,3666
NJ-035330,2017-2018,Upper Saddle River Boro,1171
NJ-035410,2017-2018,Waldwick Boro,1578.5
NJ-035430,2017-2018,Wallington Boro,1274.5
NJ-035755,2017-2018,Westwood Regional,2793
NJ-035830,2017-2018,Wood-Ridge Boro,1244.5
NJ-035880,2017-2018,Woodcliff Lake Boro,735
NJ-035920,2017-2018,Wyckoff Twp,1965
NJ-050200,2017-2018,Bass River Twp,96
NJ-050380,2017-2018,Beverly City,292
NJ-050475,2017-2018,Bordentown Regional,2494
NJ-050600,2017-2018,Burlington City,1668
NJ-050605,2017-2018,Burlington Co Spec Serv,603
NJ-050610,2017-2018,Burlington Co Vocational,2012
NJ-050620,2017-2018,Burlington Twp,3808
NJ-050830,2017-2018,Chesterfield Twp,751
NJ-050840,2017-2018,Cinnaminson Twp,2486
NJ-051030,2017-2018,Delanco Twp,399
NJ-051060,2017-2018,Delran Twp,2946
NJ-051250,2017-2018,Eastampton Twp,564
NJ-051280,2017-2018,Edgewater Park Twp,883
NJ-051420,2017-2018,Evesham Twp,4427
NJ-051520,2017-2018,Florence Twp,1557
NJ-051910,2017-2018,Hainesport Twp,594
NJ-052610,2017-2018,Lenape Regional,6739
NJ-052850,2017-2018,Lumberton Twp,1259
NJ-052960,2017-2018,Mansfield Twp,560
NJ-053010,2017-2018,Maple Shade Twp,2155
NJ-053070,2017-2018,Medford Lakes Boro,538
NJ-053080,2017-2018,Medford Twp,2712
NJ-053360,2017-2018,Moorestown Twp,3932
NJ-053430,2017-2018,Mount Holly Twp,1039
NJ-053440,2017-2018,Mount Laurel Twp,4260
NJ-053540,2017-2018,New Hanover Twp,187
NJ-053650,2017-2018,North Hanover Twp,1134
NJ-053690,2017-2018,Northern Burlington Reg,2169
NJ-053920,2017-2018,Palmyra Boro,909
NJ-054050,2017-2018,Pemberton Twp,4767
NJ-054320,2017-2018,Rancocas Valley Regional,2052
NJ-054450,2017-2018,Riverside Twp,1380
NJ-054460,2017-2018,Riverton,296
NJ-054740,2017-2018,Shamong Twp,760
NJ-054930,2017-2018,Southampton Twp,725
NJ-055010,2017-2018,Springfield Twp,216
NJ-055130,2017-2018,Tabernacle Twp,707
NJ-055720,2017-2018,Westampton,1005
NJ-055805,2017-2018,Willingboro Twp,3110
NJ-055890,2017-2018,Woodland Twp,128
NJ-070150,2017-2018,Audubon Boro,1539
NJ-070190,2017-2018,Barrington Boro,629
NJ-070260,2017-2018,Bellmawr Boro,1219
NJ-070330,2017-2018,Berlin Boro,831
NJ-070340,2017-2018,Berlin Twp,622
NJ-070390,2017-2018,Black Horse Pike Regional,3495
NJ-070580,2017-2018,Brooklawn Boro,302
NJ-070680,2017-2018,Camden City,7941
NJ-070700,2017-2018,Camden County Vocational,2093
NJ-070800,2017-2018,Cherry Hill Twp,10948
NJ-070880,2017-2018,Clementon Boro,432
NJ-070940,2017-2018,Collingswood Boro,1998
NJ-071255,2017-2018,Eastern Camden County Reg,1957
NJ-071720,2017-2018,Gibbsboro Boro,262
NJ-071770,2017-2018,Gloucester City,2121
NJ-071780,2017-2018,Gloucester Twp,6293
NJ-071799,2017-2018,"Kipp: Cooper Norcross, A New Jersey Nonprofit Corporation",1120
NJ-071801,2017-2018,"Camden Prep, Inc.",589
NJ-071802,2017-2018,"Mastery Schools Of Camden, Inc.",2140
NJ-071880,2017-2018,Haddon Heights Boro,1409
NJ-071890,2017-2018,Haddon Twp,2011
NJ-071900,2017-2018,Haddonfield Boro,2716
NJ-072540,2017-2018,Laurel Springs Boro,182
NJ-072560,2017-2018,Lawnside Boro,264
NJ-072670,2017-2018,Lindenwold Boro,2806
NJ-072890,2017-2018,Magnolia Boro,419
NJ-073110,2017-2018,Merchantville Boro,403
NJ-073420,2017-2018,Mount Ephraim Boro,427
NJ-073770,2017-2018,Oaklyn Boro,362
NJ-074060,2017-2018,Pennsauken Twp,4642
NJ-074110,2017-2018,Pine Hill Boro,1849
NJ-074590,2017-2018,Runnemede Boro,853
NJ-074790,2017-2018,Somerdale Boro,483
NJ-075035,2017-2018,Sterling High School Dist,963
NJ-075080,2017-2018,Stratford Boro,835
NJ-075400,2017-2018,Voorhees Twp,3016
NJ-075560,2017-2018,Waterford Twp,807
NJ-075820,2017-2018,Winslow Twp,4814
NJ-075900,2017-2018,Woodlynne Boro,367
NJ-090170,2017-2018,Avalon Boro,73
NJ-090710,2017-2018,Cape May City,175
NJ-090715,2017-2018,Cape May Co Special Serv,188.5
NJ-090720,2017-2018,Cape May Co Vocational,634
NJ-091080,2017-2018,Dennis Twp,554
NJ-092820,2017-2018,Lower Cape May Regional,1328.5
NJ-092840,2017-2018,Lower Twp,1696
NJ-093130,2017-2018,Middle Twp,2470.5
NJ-093680,2017-2018,North Wildwood City,209
NJ-093780,2017-2018,Ocean City,2129.5
NJ-095060,2017-2018,Stone Harbor Boro,90
NJ-095340,2017-2018,Upper Twp,1419
NJ-095610,2017-2018,West Cape May Boro,102
NJ-095790,2017-2018,Wildwood City,886
NJ-095800,2017-2018,Wildwood Crest Boro,281
NJ-095840,2017-2018,Woodbine Boro,218
NJ-110540,2017-2018,Bridgeton City,5881
NJ-110950,2017-2018,Commercial Twp,530
NJ-110995,2017-2018,Cumberland Co Vocational,552.5
NJ-110997,2017-2018,Cumberland Regional,1110.5
NJ-111020,2017-2018,Deerfield Twp,326
NJ-111120,2017-2018,Downe Twp,179
NJ-111460,2017-2018,Fairfield Twp,573
NJ-111820,2017-2018,Greenwich Twp,63
NJ-112270,2017-2018,Hopewell Twp,479
NJ-112570,2017-2018,Lawrence Twp,465
NJ-113050,2017-2018,Maurice River Twp,396
NJ-113230,2017-2018,Millville City,5371.5
NJ-115070,2017-2018,Stow Creek Twp,110
NJ-115300,2017-2018,Upper Deerfield Twp,877
NJ-115390,2017-2018,Vineland City,9605
NJ-130250,2017-2018,Belleville Town,4499.5
NJ-130410,2017-2018,Bloomfield Twp,6418
NJ-130660,2017-2018,Caldwell-West Caldwell,2608
NJ-130760,2017-2018,Cedar Grove Twp,1573.5
NJ-131210,2017-2018,East Orange,9072
NJ-131387,2017-2018,Essex Co Ed Serv Comm,84
NJ-131390,2017-2018,Essex Co Voc-Tech,2291.5
NJ-131400,2017-2018,Essex Fells Boro,228
NJ-131465,2017-2018,Fairfield Twp,683
NJ-131750,2017-2018,Glen Ridge Boro,1898
NJ-132330,2017-2018,Irvington Township,6946.5
NJ-132730,2017-2018,Livingston Twp,5982.5
NJ-133190,2017-2018,Millburn Twp,4412
NJ-133310,2017-2018,Montclair Town,6681.5
NJ-133570,2017-2018,Newark City,35714
NJ-133630,2017-2018,North Caldwell Boro,676
NJ-133750,2017-2018,Nutley Town,4072
NJ-133880,2017-2018,City Of Orange Twp,5129
NJ-134530,2017-2018,Roseland Boro,457
NJ-134900,2017-2018,South Orange-Maplewood,7036.5
NJ-135370,2017-2018,Verona Boro,2190
NJ-135630,2017-2018,West Essex Regional,1661
NJ-135680,2017-2018,West Orange Town,6637.5
NJ-150860,2017-2018,Clayton Boro,1428
NJ-150870,2017-2018,Clearview Regional,2321.5
NJ-151100,2017-2018,Deptford Twp,4257
NJ-151180,2017-2018,East Greenwich Twp,1280
NJ-151330,2017-2018,Elk Twp,377
NJ-151590,2017-2018,Franklin Twp,1405
NJ-151715,2017-2018,Gateway Regional,913
NJ-151730,2017-2018,Glassboro,2035.5
NJ-151774,2017-2018,Gloucester Co Spec Serv,631.5
NJ-151775,2017-2018,Gloucester Co Vocational,1402.5
NJ-151830,2017-2018,Greenwich Twp,425
NJ-152070,2017-2018,Harrison Twp,1406
NJ-152440,2017-2018,Kingsway Regional,2701
NJ-152750,2017-2018,Logan Twp,832
NJ-152990,2017-2018,Mantua Twp,1267
NJ-153280,2017-2018,Monroe Twp,5932
NJ-153490,2017-2018,National Park Boro,271
NJ-154020,2017-2018,Paulsboro Boro,1125
NJ-154140,2017-2018,Pitman Boro,1294
NJ-154880,2017-2018,South Harrison Twp,365
NJ-154940,2017-2018,Delsea Regional H.S Dist.,1602.5
NJ-155120,2017-2018,Swedesboro-Woolwich,1657
NJ-155500,2017-2018,Washington Twp,7247
NJ-155590,2017-2018,Wenonah Boro,181
NJ-155620,2017-2018,West Deptford Twp,2885
NJ-155740,2017-2018,Westville Boro,362
NJ-155860,2017-2018,Woodbury City,1563
NJ-155870,2017-2018,Woodbury Heights Boro,228
NJ-170220,2017-2018,Bayonne City,9564.5
NJ-171200,2017-2018,East Newark Boro,257
NJ-171850,2017-2018,Guttenberg Town,985
NJ-172060,2017-2018,Harrison Town,2131
NJ-172210,2017-2018,Hoboken City,1884
NJ-172295,2017-2018,Hudson County Vocational,2600.5
NJ-172390,2017-2018,Jersey City,27073
NJ-172410,2017-2018,Kearny Town,5551
NJ-173610,2017-2018,North Bergen Twp,7658
NJ-174730,2017-2018,Secaucus Town,2170
NJ-175240,2017-2018,Union City,12291
NJ-175580,2017-2018,Weehawken Twp,1343
NJ-175670,2017-2018,West New York Town,7904
NJ-190020,2017-2018,Alexandria Twp,492
NJ-190370,2017-2018,Bethlehem Twp,373
NJ-190430,2017-2018,Bloomsbury Boro,87
NJ-190670,2017-2018,Califon Boro,87
NJ-190910,2017-2018,Clinton Town,443
NJ-190920,2017-2018,Clinton Twp,1280
NJ-191040,2017-2018,Delaware Twp,387
NJ-191050,2017-2018,Delaware Valley Regional,689.5
NJ-191160,2017-2018,East Amwell Twp,345
NJ-191376,2017-2018,South Hunterdon Regional School District,930
NJ-191510,2017-2018,Flemington-Raritan Reg,3055
NJ-191600,2017-2018,Franklin Twp,288
NJ-191680,2017-2018,Frenchtown Boro,121
NJ-191970,2017-2018,Hampton Boro,134
NJ-192140,2017-2018,High Bridge Boro,371
NJ-192220,2017-2018,Holland Twp,561
NJ-192300,2017-2018,Hunterdon Central Reg,2882
NJ-192305,2017-2018,Hunterdon Co Ed Ser Comm,37
NJ-192308,2017-2018,Hunterdon Co Vocational,357
NJ-192450,2017-2018,Kingwood Twp,335
NJ-192590,2017-2018,Lebanon Boro,107
NJ-192600,2017-2018,Lebanon Twp,591
NJ-193180,2017-2018,Milford Boro,70
NJ-193660,2017-2018,N Hunt/Voorhees Regional,2604.5
NJ-194350,2017-2018,Readington Twp,1524
NJ-195180,2017-2018,Tewksbury Twp,559
NJ-195270,2017-2018,Union Twp,456
NJ-211245,2017-2018,East Windsor Regional,5102
NJ-211430,2017-2018,Ewing Twp,3542
NJ-211431,2017-2018,Katzenbach,86.5
NJ-211950,2017-2018,Hamilton Twp,11405.5
NJ-212280,2017-2018,Hopewell Valley Regional,3518
NJ-212580,2017-2018,Lawrence Twp,3830.5
NJ-213103,2017-2018,Mercer County Special Services School District,565.5
NJ-213105,2017-2018,Mercer County Vocational,584
NJ-214255,2017-2018,Princeton Regional,3754
NJ-215210,2017-2018,Trenton Public School District,11118.5
NJ-215510,2017-2018,Robbinsville Twp,3148.5
NJ-215715,2017-2018,W Windsor-Plainsboro Reg,9692.5
NJ-230750,2017-2018,Carteret Boro,3744
NJ-230970,2017-2018,Cranbury Twp,469
NJ-231140,2017-2018,Dunellen Boro,1209
NJ-231170,2017-2018,East Brunswick Twp,8019.5
NJ-231290,2017-2018,Edison Twp,16026
NJ-232150,2017-2018,Highland Park Boro,1606
NJ-232370,2017-2018,Jamesburg Boro,694
NJ-233120,2017-2018,Metuchen Boro,2258.5
NJ-233140,2017-2018,Middlesex Boro,2064.5
NJ-233145,2017-2018,Educational Services Commission Of New Jersey,700.5
NJ-233150,2017-2018,Middlesex Co Vocational,2075
NJ-233220,2017-2018,Milltown Boro,746
NJ-233290,2017-2018,Monroe Twp,6778.5
NJ-233530,2017-2018,New Brunswick City,9250.5
NJ-233620,2017-2018,North Brunswick Twp,5997.5
NJ-233845,2017-2018,Old Bridge Twp,8659
NJ-234090,2017-2018,Perth Amboy City,10639
NJ-234130,2017-2018,Piscataway Twp,7165.5
NJ-234660,2017-2018,Sayreville Boro,6201.5
NJ-234830,2017-2018,South Amboy City,1044.5
NJ-234860,2017-2018,South Brunswick Twp,8745.5
NJ-234910,2017-2018,South Plainfield Boro,3362.5
NJ-234920,2017-2018,South River Boro,2187.5
NJ-234970,2017-2018,Spotswood Boro,1718
NJ-235850,2017-2018,Woodbridge Twp,13694.5
NJ-250100,2017-2018,Asbury Park City,1983
NJ-250130,2017-2018,Atlantic Highlands Boro,318
NJ-250180,2017-2018,Avon Boro,142
NJ-250225,2017-2018,Bayshore Jointure Comm,55
NJ-250270,2017-2018,Belmar Boro,517
NJ-250500,2017-2018,Bradley Beach Boro,317
NJ-250560,2017-2018,Brielle Boro,535
NJ-250945,2017-2018,Colts Neck Twp,956
NJ-251000,2017-2018,Deal Boro,165
NJ-251260,2017-2018,Eatontown Boro,987
NJ-251440,2017-2018,Fair Haven Boro,992
NJ-251490,2017-2018,Farmingdale Boro,156
NJ-251640,2017-2018,Freehold Boro,1680
NJ-251650,2017-2018,Freehold Regional,10668.5
NJ-251660,2017-2018,Freehold Twp,3747
NJ-252105,2017-2018,Hazlet Twp,2866.5
NJ-252120,2017-2018,Henry Hudson Regional,312.5
NJ-252160,2017-2018,Highlands Boro,200
NJ-252230,2017-2018,Holmdel Twp,2997.5
NJ-252290,2017-2018,Howell Twp,5747
NJ-252400,2017-2018,Keansburg Boro,1531.5
NJ-252430,2017-2018,Keyport Boro,1052
NJ-252720,2017-2018,Little Silver Boro,853
NJ-252770,2017-2018,Long Branch City,5684
NJ-252920,2017-2018,Manalapan-Englishtown Reg,5013
NJ-252930,2017-2018,Manasquan Boro,1504
NJ-253030,2017-2018,Marlboro Twp,4832
NJ-253040,2017-2018,Matawan-Aberdeen Regional,3725
NJ-253160,2017-2018,Middletown Twp,9513
NJ-253200,2017-2018,Millstone Twp,1119
NJ-253250,2017-2018,Monmouth Beach Boro,243
NJ-253255,2017-2018,Monmouth-Ocean Ed Ser Com,27
NJ-253260,2017-2018,Monmouth Co Vocational,2196
NJ-253270,2017-2018,Monmouth Regional,972.5
NJ-253500,2017-2018,Neptune City,290
NJ-253510,2017-2018,Neptune Twp,3964.5
NJ-253810,2017-2018,Ocean Twp,3498
NJ-253830,2017-2018,Oceanport Boro,579
NJ-254360,2017-2018,Red Bank Boro,1257
NJ-254365,2017-2018,Red Bank Regional,1185
NJ-254520,2017-2018,Roosevelt Boro,79
NJ-254570,2017-2018,Rumson Boro,1033
NJ-254580,2017-2018,Rumson-Fair Haven Reg,976.5
NJ-254690,2017-2018,Sea Girt Boro,141
NJ-254760,2017-2018,Shore Regional,645.5
NJ-254770,2017-2018,Shrewsbury Boro,470
NJ-254980,2017-2018,Spring Lake Boro,196
